ano,mes,sku,conta,seller_id,status,unidades,receita,comissao,frete,custo,pedidos
2020,12,,(sem conta),-100,paid,2.0,2434.0,401.61,37.4,0.0,2
2020,12,11002,(sem conta),-100,cancelled,2.0,329.0,0.0,30.9,221.0,2
2020,12,11002,(sem conta),-100,paid,24.0,3619.0,651.36,378.7,2431.0,22
2020,12,11027,(sem conta),-100,cancelled,3.0,493.5,0.0,54.25,331.5,3
2020,12,11027,(sem conta),-100,paid,32.0,5099.5,868.48,502.3,3425.5,31
2020,12,1120309173,(sem conta),-100,paid,12.0,8473.0,1327.5,209.4,6240.0,12
2020,12,1129923360,(sem conta),-100,paid,2.0,6301.0,535.61,0.0,5671.46,2
2020,12,1131295633,(sem conta),-100,paid,4.0,1437.0,316.16,109.75,1154.73,3
2020,12,1135910775,(sem conta),-100,paid,4.0,11688.6,1493.73,216.3,10414.92,4
2020,12,1157682621,(sem conta),-100,paid,5.0,2403.0,396.48,109.75,1870.0,5
2020,12,1193660863,(sem conta),-100,paid,2.0,598.0,68.76,30.9,444.2,2
2020,12,1206538918,(sem conta),-100,cancelled,1.0,1510.5,0.0,16.95,1187.37,1
2020,12,1206538918,(sem conta),-100,paid,13.0,20709.76,2948.53,220.35,15435.81,13
2020,12,1206641150,(sem conta),-100,paid,1.0,559.0,92.24,16.95,0.0,1
2020,12,1206712342,(sem conta),-100,paid,3.0,1794.0,296.01,50.85,0.0,3
2020,12,1206747366,(sem conta),-100,cancelled,1.0,1145.0,0.0,45.24,856.28,1
2020,12,1206747366,(sem conta),-100,paid,1.0,1099.0,126.38,16.95,856.28,1
2020,12,1212115663,(sem conta),-100,paid,2.0,1340.0,221.1,33.9,887.38,2
2020,12,1212138074,(sem conta),-100,cancelled,1.0,1766.4,0.0,17.45,1474.85,1
2020,12,1212138074,(sem conta),-100,paid,5.0,8914.6,1470.92,126.64,7374.25,5
2020,12,1213665436,(sem conta),-100,cancelled,1.0,259.0,0.0,15.45,0.0,1
2020,12,1213665436,(sem conta),-100,paid,4.0,906.5,113.68,61.8,0.0,4
2020,12,1215153122,(sem conta),-100,paid,3.0,1736.0,286.43,55.94,1454.91,3
2020,12,1215197880,(sem conta),-100,paid,2.0,998.0,164.68,30.9,691.26,2
2020,12,1215365698,(sem conta),-100,paid,2.0,1196.0,197.34,65.85,1153.4,2
2020,12,1215960914,(sem conta),-100,paid,6.0,12178.0,1824.48,132.54,9398.22,6
2020,12,1228166048,(sem conta),-100,paid,1.0,978.0,161.37,15.45,865.04,1
2020,12,1228166730,(sem conta),-100,paid,2.0,825.5,116.25,33.9,646.1,2
2020,12,1228183745,(sem conta),-100,paid,5.0,5511.4,743.65,159.75,4475.0,5
2020,12,1228187657,(sem conta),-100,cancelled,2.0,4319.5,0.0,43.9,3280.0,2
2020,12,1228187657,(sem conta),-100,paid,7.0,14029.5,2208.85,153.65,11480.0,7
2020,12,1232548360,(sem conta),-100,paid,1.0,378.0,62.37,15.45,296.64,1
2020,12,1237514548,(sem conta),-100,paid,2.0,1116.75,158.38,43.9,844.42,2
2020,12,1237519907,(sem conta),-100,cancelled,1.0,491.0,0.0,31.95,339.9,1
2020,12,1237519907,(sem conta),-100,paid,11.0,5382.6,858.27,409.25,3738.9,11
2020,12,1247028784,(sem conta),-100,paid,1.0,189.0,31.18,17.45,133.24,1
2020,12,1258972539,(sem conta),-100,paid,1.0,1140.5,131.16,21.95,761.6,1
2020,12,1260755829,(sem conta),-100,paid,40.0,4338.5,668.53,850.1,2716.8,40
2020,12,1260786818,(sem conta),-100,paid,1.0,159.9,26.38,16.95,95.86,1
2020,12,1260841428,(sem conta),-100,paid,8.0,1277.95,171.59,135.6,766.88,8
2020,12,1260849148,(sem conta),-100,paid,14.0,1944.5,310.32,262.65,1246.18,13
2020,12,1260862675,(sem conta),-100,paid,5.0,214.8,58.35,77.6,164.5,5
2020,12,1260893851,(sem conta),-100,paid,3.0,288.0,57.52,90.65,193.26,3
2020,12,1262174135,(sem conta),-100,cancelled,1.0,454.58,0.0,17.45,339.97,1
2020,12,1262174135,(sem conta),-100,paid,5.0,2392.0,394.67,87.25,1699.85,5
2020,12,1262181801,(sem conta),-100,cancelled,1.0,388.5,0.0,17.45,286.02,1
2020,12,1262181801,(sem conta),-100,paid,32.0,11898.0,1752.91,732.83,9152.64,32
2020,12,1262182235,(sem conta),-100,cancelled,1.0,618.0,0.0,17.45,490.3,1
2020,12,1262182235,(sem conta),-100,paid,3.0,1914.0,284.91,78.8,1470.9,3
2020,12,1262182640,(sem conta),-100,paid,5.0,3400.0,494.2,129.75,3150.9,5
2020,12,1262188890,(sem conta),-100,paid,8.0,1656.5,263.39,169.9,1155.28,8
2020,12,1262193883,(sem conta),-100,cancelled,1.0,94.9,0.0,30.9,72.74,1
2020,12,1262193883,(sem conta),-100,paid,4.0,452.9,79.72,77.25,290.96,4
2020,12,1262200792,(sem conta),-100,paid,6.0,2325.5,346.8,104.7,1915.38,6
2020,12,1262204808,(sem conta),-100,paid,5.0,1822.2,330.9,214.05,1524.0,4
2020,12,1262206735,(sem conta),-100,paid,5.0,2770.33,399.5,121.69,2548.2,5
2020,12,1262210728,(sem conta),-100,paid,3.0,2237.75,369.22,66.85,2006.19,3
2020,12,1262218789,(sem conta),-100,paid,3.0,5445.0,720.42,102.24,4606.68,3
2020,12,1262224127,(sem conta),-100,cancelled,1.0,2040.0,0.0,31.95,1641.55,1
2020,12,1262224127,(sem conta),-100,paid,3.0,6078.0,908.88,111.14,4924.65,3
2020,12,1262230917,(sem conta),-100,cancelled,1.0,2649.5,0.0,31.95,2066.56,1
2020,12,1262230917,(sem conta),-100,paid,3.0,7939.0,1309.94,95.85,6199.68,3
2020,12,1262242112,(sem conta),-100,cancelled,1.0,488.0,0.0,16.95,372.47,1
2020,12,1262242112,(sem conta),-100,paid,4.0,1972.0,325.38,67.8,1489.88,4
2020,12,1262297162,(sem conta),-100,paid,2.0,802.0,112.43,34.4,438.0,2
2020,12,1262302062,(sem conta),-100,paid,1.0,477.0,78.7,15.45,316.88,1
2020,12,1262488134,(sem conta),-100,paid,1.0,649.0,107.08,15.45,511.14,1
2020,12,1262525177,(sem conta),-100,cancelled,1.0,545.0,0.0,15.45,426.96,1
2020,12,1262525177,(sem conta),-100,paid,1.0,545.0,62.68,15.45,426.96,1
2020,12,1262532053,(sem conta),-100,paid,1.0,589.0,97.18,15.45,380.04,1
2020,12,1262538967,(sem conta),-100,paid,1.0,549.0,90.58,15.45,461.37,1
2020,12,1262571672,(sem conta),-100,paid,1.0,1149.0,189.58,31.95,788.45,1
2020,12,1262589844,(sem conta),-100,paid,1.0,1186.0,195.69,49.95,973.58,1
2020,12,1262593126,(sem conta),-100,paid,1.0,1097.5,126.21,49.95,1040.0,1
2020,12,1262925955,(sem conta),-100,paid,1.0,905.0,149.32,31.95,598.92,1
2020,12,1262957184,(sem conta),-100,paid,1.0,377.0,62.2,21.95,327.71,1
2020,12,1262960593,(sem conta),-100,paid,2.0,548.0,76.98,48.29,476.68,2
2020,12,1262969525,(sem conta),-100,paid,4.0,513.0,87.21,119.6,345.0,3
2020,12,1262975027,(sem conta),-100,cancelled,1.0,220.5,0.0,21.95,176.42,1
2020,12,1262975027,(sem conta),-100,paid,2.0,429.84,70.92,56.8,352.84,2
2020,12,1262993379,(sem conta),-100,paid,16.0,4928.0,767.45,351.2,3520.48,16
2020,12,1263016617,(sem conta),-100,paid,1.0,210.0,34.65,17.45,154.59,1
2020,12,1263838565,(sem conta),-100,paid,5.0,17846.5,2153.58,374.75,0.0,5
2020,12,1270039033,(sem conta),-100,paid,4.0,1712.0,282.48,61.8,1376.76,4
2020,12,1289811286,(sem conta),-100,paid,3.0,6278.0,938.47,194.85,4856.85,3
2020,12,1303014683,(sem conta),-100,paid,5.0,12490.5,1436.41,518.65,11371.2,5
2020,12,1544842539,(sem conta),-100,paid,1.0,5400.0,621.0,21.95,3999.0,1
2020,12,1570449926,(sem conta),-100,paid,2.0,2198.0,362.68,34.9,1512.92,2
