ano,mes,estado,status,receita,unidades,pedidos
2020,12,(sem estado),cancelled,505.92,6.0,6
2020,12,(sem estado),paid,3174.0,9.0,9
2020,12,Acre,paid,1541.0,2.0,2
2020,12,Alagoas,paid,15694.4,12.0,12
2020,12,Amapá,paid,62.0,2.0,1
2020,12,Amazonas,paid,7158.5,4.0,4
2020,12,Bahia,cancelled,3438.58,4.0,4
2020,12,Bahia,paid,25500.5,48.0,41
2020,12,Ceará,cancelled,2120.5,1.0,1
2020,12,Ceará,paid,10445.3,15.0,15
2020,12,Distrito Federal,cancelled,1778.5,2.0,2
2020,12,Distrito Federal,paid,19781.39,30.0,28
2020,12,Espírito Santo,cancelled,8473.4,3.0,3
2020,12,Espírito Santo,paid,13947.18,20.0,19
2020,12,Goiás,paid,27885.4,26.0,25
2020,12,Maranhão,cancelled,94.9,1.0,1
2020,12,Maranhão,paid,8867.02,8.0,8
2020,12,Mato Grosso,cancelled,2204.5,2.0,2
2020,12,Mato Grosso,paid,14443.4,22.0,15
2020,12,Mato Grosso do Sul,paid,8850.13,13.0,13
2020,12,Minas Gerais,cancelled,1873.5,9.0,9
2020,12,Minas Gerais,paid,100915.49,140.0,132
2020,12,Paraná,paid,25122.51,55.0,52
2020,12,Paraíba,paid,6495.5,8.0,8
2020,12,Pará,cancelled,420.0,1.0,1
2020,12,Pará,paid,10852.5,11.0,11
2020,12,Pernambuco,cancelled,4680.5,2.0,2
2020,12,Pernambuco,paid,21713.18,23.0,20
2020,12,Piauí,paid,7741.9,5.0,5
2020,12,Rio Grande do Norte,paid,10563.2,12.0,9
2020,12,Rio Grande do Sul,cancelled,5559.5,2.0,2
2020,12,Rio Grande do Sul,paid,20682.7,42.0,40
2020,12,Rio de Janeiro,cancelled,5617.0,7.0,7
2020,12,Rio de Janeiro,paid,88316.57,151.0,136
2020,12,Rondônia,paid,3710.0,3.0,3
2020,12,Santa Catarina,cancelled,6335.0,6.0,6
2020,12,Santa Catarina,paid,34825.59,38.0,38
2020,12,Sergipe,cancelled,23.0,2.0,1
2020,12,Sergipe,paid,7301.9,7.0,7
2020,12,São Paulo,cancelled,16887.01,22.0,22
2020,12,São Paulo,paid,253847.86,414.0,382
2020,12,Tocantins,paid,164.5,1.0,1
2021,1,(sem estado),cancelled,4913.5,4.0,4
2021,1,(sem estado),paid,2749.5,1.0,1
2021,1,Acre,paid,99.0,1.0,1
2021,1,Alagoas,paid,3072.62,3.0,3
2021,1,Amapá,paid,6344.26,3.0,3
2021,1,Amazonas,paid,3735.0,2.0,2
2021,1,Bahia,cancelled,12650.2,5.0,3
2021,1,Bahia,paid,18779.06,33.0,27
2021,1,Ceará,cancelled,478.0,1.0,1
2021,1,Ceará,paid,31894.02,21.0,19
2021,1,Distrito Federal,cancelled,2670.1,2.0,2
2021,1,Distrito Federal,paid,15356.13,17.0,15
2021,1,Espírito Santo,paid,18605.57,14.0,14
2021,1,Goiás,paid,6060.61,21.0,16
2021,1,Maranhão,cancelled,492.76,1.0,1
2021,1,Maranhão,paid,15376.94,9.0,9
2021,1,Mato Grosso,cancelled,744.76,2.0,2
2021,1,Mato Grosso,paid,5650.46,14.0,12
2021,1,Mato Grosso do Sul,paid,9719.8,4.0,4
2021,1,Minas Gerais,cancelled,6134.5,6.0,6
2021,1,Minas Gerais,paid,81914.39,91.0,89
2021,1,Paraná,cancelled,3704.0,1.0,1
2021,1,Paraná,paid,13232.16,22.0,21
2021,1,Paraíba,paid,7286.26,10.0,10
2021,1,Pará,paid,32072.02,17.0,17
2021,1,Pernambuco,cancelled,520.0,1.0,1
2021,1,Pernambuco,paid,20173.03,21.0,21
2021,1,Piauí,cancelled,208.0,1.0,1
2021,1,Piauí,paid,3765.0,4.0,4
2021,1,Rio Grande do Norte,cancelled,686.76,1.0,1
2021,1,Rio Grande do Norte,paid,3477.92,5.0,5
2021,1,Rio Grande do Sul,cancelled,2949.0,1.0,1
2021,1,Rio Grande do Sul,paid,20744.54,23.0,23
2021,1,Rio de Janeiro,cancelled,8062.36,8.0,6
2021,1,Rio de Janeiro,paid,101314.65,83.0,82
2021,1,Rondônia,paid,3489.0,1.0,1
2021,1,Roraima,paid,411.0,1.0,1
2021,1,Santa Catarina,cancelled,2140.8,1.0,1
2021,1,Santa Catarina,paid,39513.31,34.0,33
2021,1,Sergipe,paid,3712.49,6.0,6
2021,1,São Paulo,cancelled,18741.99,19.0,18
2021,1,São Paulo,paid,213533.75,273.0,248
2021,1,Tocantins,paid,1180.0,1.0,1
2021,2,(sem estado),paid,15136.99,6.0,6
2021,2,Acre,paid,4373.0,2.0,2
